moon_ra,  moon_dec, moon_phase_frac, jup_ra, jup_dec
278.89,  -23.27, 0.70, 254.17, -22.32
279.24,  -23.28, 0.70, 254.17, -22.32
279.60,  -23.25, 0.71, 254.17, -22.32
279.99,  -23.22, 0.71, 254.18, -22.32
280.41,  -23.16, 0.72, 254.18, -22.32
280.89,  -23.09, 0.72, 254.19, -22.32
281.41,  -23.02, 0.72, 254.19, -22.32
281.99,  -22.94, 0.73, 254.19, -22.32
282.62,  -22.87, 0.73, 254.20, -22.32
283.30,  -22.81, 0.73, 254.20, -22.32
284.02,  -22.75, 0.74, 254.20, -22.32
284.76,  -22.71, 0.74, 254.21, -22.32
285.52,  -22.69, 0.74, 254.21, -22.32
286.29,  -22.68, 0.75, 254.22, -22.32
287.04,  -22.69, 0.75, 254.22, -22.32
287.78,  -22.72, 0.76, 254.22, -22.32
288.48,  -22.76, 0.76, 254.23, -22.32
289.14,  -22.80, 0.76, 254.23, -22.32
289.75,  -22.86, 0.77, 254.23, -22.32
290.30,  -22.91, 0.77, 254.24, -22.33
290.81,  -22.96, 0.77, 254.24, -22.33
291.26,  -23.00, 0.78, 254.25, -22.33
291.66,  -23.03, 0.78, 254.25, -22.33
292.03,  -23.05, 0.78, 254.25, -22.33
292.38,  -23.04, 0.79, 254.26, -22.33
292.71,  -23.01, 0.79, 254.26, -22.33
293.04,  -22.96, 0.79, 254.26, -22.33
293.40,  -22.89, 0.80, 254.27, -22.33
293.78,  -22.80, 0.80, 254.27, -22.33
294.20,  -22.70, 0.80, 254.27, -22.33
294.67,  -22.59, 0.81, 254.28, -22.33
295.19,  -22.47, 0.81, 254.28, -22.33
295.77,  -22.35, 0.81, 254.29, -22.33
296.39,  -22.24, 0.81, 254.29, -22.33
297.06,  -22.13, 0.82, 254.29, -22.33
297.76,  -22.04, 0.82, 254.30, -22.33
298.50,  -21.96, 0.82, 254.30, -22.33
299.24,  -21.89, 0.83, 254.31, -22.33
299.99,  -21.84, 0.83, 254.31, -22.33
300.72,  -21.81, 0.83, 254.31, -22.34
301.43,  -21.79, 0.84, 254.32, -22.34
302.11,  -21.79, 0.84, 254.32, -22.34
302.74,  -21.79, 0.84, 254.33, -22.34
303.33,  -21.79, 0.84, 254.33, -22.34
303.86,  -21.80, 0.85, 254.33, -22.34
304.34,  -21.80, 0.85, 254.34, -22.34
304.76,  -21.79, 0.85, 254.34, -22.34
305.15,  -21.78, 0.86, 254.34, -22.34
305.50,  -21.74, 0.86, 254.35, -22.34
305.82,  -21.68, 0.86, 254.35, -22.34
306.14,  -21.61, 0.86, 254.36, -22.34
306.47,  -21.51, 0.87, 254.36, -22.34
306.81,  -21.40, 0.87, 254.36, -22.34
307.18,  -21.27, 0.87, 254.37, -22.34
307.60,  -21.13, 0.88, 254.37, -22.34
308.06,  -20.98, 0.88, 254.38, -22.34
308.57,  -20.83, 0.88, 254.38, -22.34
309.14,  -20.67, 0.88, 254.38, -22.34
309.75,  -20.52, 0.89, 254.39, -22.34
310.40,  -20.38, 0.89, 254.39, -22.35
311.09,  -20.26, 0.89, 254.40, -22.35
311.81,  -20.14, 0.89, 254.40, -22.35
312.53,  -20.04, 0.90, 254.40, -22.35
313.25,  -19.95, 0.90, 254.41, -22.35
313.96,  -19.88, 0.90, 254.41, -22.35
314.64,  -19.82, 0.90, 254.42, -22.35
315.29,  -19.78, 0.90, 254.42, -22.35
315.89,  -19.73, 0.91, 254.42, -22.35
316.45,  -19.70, 0.91, 254.43, -22.35
316.95,  -19.66, 0.91, 254.43, -22.35
317.40,  -19.61, 0.91, 254.43, -22.35
317.80,  -19.56, 0.92, 254.44, -22.35
318.16,  -19.49, 0.92, 254.44, -22.35
318.48,  -19.41, 0.92, 254.45, -22.35
318.79,  -19.32, 0.92, 254.45, -22.35
319.09,  -19.20, 0.92, 254.45, -22.35
319.40,  -19.07, 0.93, 254.46, -22.35
319.74,  -18.92, 0.93, 254.46, -22.35
320.10,  -18.75, 0.93, 254.47, -22.35
320.51,  -18.58, 0.93, 254.47, -22.36
320.96,  -18.40, 0.93, 254.47, -22.36
321.46,  -18.22, 0.94, 254.48, -22.36
322.02,  -18.04, 0.94, 254.48, -22.36
322.62,  -17.87, 0.94, 254.49, -22.36
323.26,  -17.71, 0.94, 254.49, -22.36
323.93,  -17.55, 0.94, 254.50, -22.36
324.62,  -17.41, 0.95, 254.50, -22.36
325.32,  -17.28, 0.95, 254.50, -22.36
326.02,  -17.16, 0.95, 254.51, -22.36
326.70,  -17.06, 0.95, 254.51, -22.36
327.35,  -16.96, 0.95, 254.52, -22.36
327.97,  -16.88, 0.95, 254.52, -22.36
328.54,  -16.80, 0.96, 254.52, -22.36
329.06,  -16.72, 0.96, 254.53, -22.36
329.53,  -16.63, 0.96, 254.53, -22.36
329.95,  -16.55, 0.96, 254.54, -22.36
330.32,  -16.45, 0.96, 254.54, -22.36
330.66,  -16.35, 0.96, 254.54, -22.36
330.96,  -16.23, 0.96, 254.55, -22.37
331.25,  -16.09, 0.97, 254.55, -22.37
331.54,  -15.94, 0.97, 254.56, -22.37
331.84,  -15.78, 0.97, 254.56, -22.37
332.16,  -15.61, 0.97, 254.56, -22.37
332.52,  -15.42, 0.97, 254.57, -22.37
332.92,  -15.23, 0.97, 254.57, -22.37
333.37,  -15.03, 0.97, 254.58, -22.37
333.86,  -14.83, 0.98, 254.58, -22.37
334.41,  -14.64, 0.98, 254.59, -22.37
335.00,  -14.45, 0.98, 254.59, -22.37
335.63,  -14.26, 0.98, 254.59, -22.37
336.29,  -14.09, 0.98, 254.60, -22.37
336.96,  -13.93, 0.98, 254.60, -22.37
337.64,  -13.78, 0.98, 254.61, -22.37
338.31,  -13.63, 0.98, 254.61, -22.37
338.96,  -13.50, 0.98, 254.62, -22.37
339.59,  -13.38, 0.98, 254.62, -22.37
340.17,  -13.26, 0.99, 254.62, -22.37
340.71,  -13.14, 0.99, 254.63, -22.38
341.20,  -13.02, 0.99, 254.63, -22.38
341.64,  -12.91, 0.99, 254.64, -22.38
342.03,  -12.78, 0.99, 254.64, -22.38
342.38,  -12.65, 0.99, 254.64, -22.38
342.69,  -12.51, 0.99, 254.65, -22.38
342.98,  -12.36, 0.99, 254.65, -22.38
343.25,  -12.20, 0.99, 254.66, -22.38
343.53,  -12.02, 0.99, 254.66, -22.38
343.82,  -11.84, 0.99, 254.67, -22.38
344.14,  -11.65, 0.99, 254.67, -22.38
344.49,  -11.45, 0.99, 254.67, -22.38
344.89,  -11.24, 0.99, 254.68, -22.38
345.34,  -11.04, 0.99, 254.68, -22.38
345.83,  -10.83, 1.00, 254.69, -22.38
346.38,  -10.63, 1.00, 254.69, -22.38
346.96,  -10.43, 1.00, 254.70, -22.38
347.58,  -10.24, 1.00, 254.70, -22.38
348.23,  -10.06, 1.00, 254.71, -22.38
348.89,  -9.88, 1.00, 254.71, -22.39
349.55,  -9.71, 1.00, 254.71, -22.39
350.20,  -9.55, 1.00, 254.72, -22.39
350.83,  -9.39, 1.00, 254.72, -22.39
351.43,  -9.24, 1.00, 254.73, -22.39
351.99,  -9.09, 1.00, 254.73, -22.39
352.50,  -8.95, 1.00, 254.74, -22.39
352.96,  -8.80, 1.00, 254.74, -22.39
353.38,  -8.65, 1.00, 254.74, -22.39
353.74,  -8.49, 1.00, 254.75, -22.39
354.07,  -8.33, 1.00, 254.75, -22.39
354.36,  -8.17, 1.00, 254.76, -22.39
354.63,  -7.99, 1.00, 254.76, -22.39
354.90,  -7.81, 1.00, 254.77, -22.39
355.17,  -7.62, 1.00, 254.77, -22.39
355.46,  -7.42, 1.00, 254.77, -22.39
355.78,  -7.22, 1.00, 254.78, -22.39
356.13,  -7.02, 1.00, 254.78, -22.39
356.54,  -6.81, 1.00, 254.79, -22.39
356.99,  -6.61, 1.00, 254.79, -22.40
357.49,  -6.40, 1.00, 254.80, -22.40
358.04,  -6.20, 1.00, 254.80, -22.40
358.62,  -6.00, 1.00, 254.81, -22.40
359.24,  -5.81, 1.00, 254.81, -22.40
359.88,  -5.62, 0.99, 254.81, -22.40
0.53,  -5.44, 0.99, 254.82, -22.40
1.18,  -5.25, 0.99, 254.82, -22.40
1.82,  -5.08, 0.99, 254.83, -22.40
2.44,  -4.90, 0.99, 254.83, -22.40
3.01,  -4.73, 0.99, 254.84, -22.40
3.55,  -4.56, 0.99, 254.84, -22.40
4.04,  -4.38, 0.99, 254.85, -22.40
4.48,  -4.21, 0.99, 254.85, -22.40
4.88,  -4.03, 0.99, 254.85, -22.40
5.22,  -3.85, 0.99, 254.86, -22.40
5.53,  -3.67, 0.99, 254.86, -22.40
5.82,  -3.49, 0.99, 254.87, -22.40
6.08,  -3.30, 0.99, 254.87, -22.41
6.34,  -3.10, 0.99, 254.88, -22.41
6.61,  -2.91, 0.98, 254.88, -22.41
6.91,  -2.71, 0.98, 254.89, -22.41
7.23,  -2.51, 0.98, 254.89, -22.41
7.60,  -2.32, 0.98, 254.89, -22.41
8.01,  -2.12, 0.98, 254.90, -22.41
8.48,  -1.92, 0.98, 254.90, -22.41
8.99,  -1.73, 0.98, 254.91, -22.41
9.55,  -1.53, 0.98, 254.91, -22.41
10.14,  -1.34, 0.98, 254.92, -22.41
10.77,  -1.15, 0.97, 254.92, -22.41
11.41,  -0.96, 0.97, 254.93, -22.41
12.06,  -0.77, 0.97, 254.93, -22.41
12.71,  -0.58, 0.97, 254.94, -22.41
13.34,  -0.39, 0.97, 254.94, -22.41
13.94,  -0.20, 0.97, 254.94, -22.41
14.51,  -0.01, 0.97, 254.95, -22.41
15.03,  0.18, 0.97, 254.95, -22.42
15.51,  0.37, 0.96, 254.96, -22.42
15.93,  0.56, 0.96, 254.96, -22.42
16.31,  0.76, 0.96, 254.97, -22.42
16.65,  0.96, 0.96, 254.97, -22.42
16.95,  1.15, 0.96, 254.98, -22.42
17.23,  1.35, 0.96, 254.98, -22.42
17.49,  1.54, 0.95, 254.99, -22.42
17.76,  1.73, 0.95, 254.99, -22.42
18.04,  1.93, 0.95, 254.99, -22.42
18.34,  2.11, 0.95, 255.00, -22.42
18.68,  2.30, 0.95, 255.00, -22.42
19.07,  2.48, 0.95, 255.01, -22.42
19.50,  2.67, 0.94, 255.01, -22.42
19.98,  2.85, 0.94, 255.02, -22.42
20.51,  3.03, 0.94, 255.02, -22.42
21.09,  3.21, 0.94, 255.03, -22.42
21.70,  3.39, 0.94, 255.03, -22.42
22.34,  3.57, 0.94, 255.04, -22.43
22.99,  3.76, 0.93, 255.04, -22.43
23.65,  3.94, 0.93, 255.05, -22.43
24.30,  4.14, 0.93, 255.05, -22.43
24.93,  4.33, 0.93, 255.06, -22.43
25.53,  4.53, 0.92, 255.06, -22.43
26.10,  4.73, 0.92, 255.06, -22.43
26.62,  4.94, 0.92, 255.07, -22.43
27.09,  5.14, 0.92, 255.07, -22.43
27.51,  5.35, 0.92, 255.08, -22.43
27.88,  5.55, 0.91, 255.08, -22.43
28.21,  5.76, 0.91, 255.09, -22.43
28.51,  5.96, 0.91, 255.09, -22.43
28.79,  6.15, 0.91, 255.10, -22.43
29.06,  6.34, 0.91, 255.10, -22.43
29.34,  6.53, 0.90, 255.11, -22.43
29.63,  6.70, 0.90, 255.11, -22.43
29.96,  6.87, 0.90, 255.12, -22.43
30.32,  7.04, 0.90, 255.12, -22.44
30.73,  7.20, 0.89, 255.13, -22.44
31.19,  7.36, 0.89, 255.13, -22.44
31.70,  7.52, 0.89, 255.14, -22.44
32.26,  7.68, 0.89, 255.14, -22.44
32.86,  7.84, 0.88, 255.15, -22.44
33.49,  8.00, 0.88, 255.15, -22.44
34.15,  8.17, 0.88, 255.16, -22.44
34.83,  8.35, 0.88, 255.16, -22.44
35.50,  8.53, 0.87, 255.16, -22.44
36.17,  8.72, 0.87, 255.17, -22.44
36.81,  8.91, 0.87, 255.17, -22.44
37.42,  9.12, 0.86, 255.18, -22.44
37.98,  9.32, 0.86, 255.18, -22.44
38.50,  9.53, 0.86, 255.19, -22.44
38.98,  9.74, 0.86, 255.19, -22.44
39.40,  9.95, 0.85, 255.20, -22.44
39.77,  10.16, 0.85, 255.20, -22.44
40.11,  10.36, 0.85, 255.21, -22.45
40.42,  10.55, 0.84, 255.21, -22.45
40.71,  10.74, 0.84, 255.22, -22.45
40.99,  10.91, 0.84, 255.22, -22.45
41.29,  11.08, 0.84, 255.23, -22.45
41.60,  11.23, 0.83, 255.23, -22.45
41.95,  11.38, 0.83, 255.24, -22.45
42.35,  11.51, 0.83, 255.24, -22.45
42.79,  11.64, 0.82, 255.25, -22.45
43.28,  11.77, 0.82, 255.25, -22.45
43.83,  11.90, 0.82, 255.26, -22.45
44.42,  12.03, 0.81, 255.26, -22.45
45.05,  12.17, 0.81, 255.27, -22.45
45.72,  12.31, 0.81, 255.27, -22.45
46.41,  12.46, 0.80, 255.28, -22.45
47.11,  12.62, 0.80, 255.28, -22.45
47.81,  12.79, 0.80, 255.29, -22.45
48.50,  12.97, 0.79, 255.29, -22.46
49.16,  13.16, 0.79, 255.30, -22.46
49.78,  13.36, 0.79, 255.30, -22.46
50.36,  13.56, 0.78, 255.31, -22.46
50.89,  13.76, 0.78, 255.31, -22.46
51.38,  13.97, 0.78, 255.32, -22.46
51.81,  14.17, 0.77, 255.32, -22.46
52.20,  14.37, 0.77, 255.32, -22.46
52.55,  14.56, 0.77, 255.33, -22.46
52.87,  14.73, 0.76, 255.33, -22.46
53.18,  14.90, 0.76, 255.34, -22.46
53.48,  15.05, 0.76, 255.34, -22.46
53.80,  15.18, 0.75, 255.35, -22.46
54.15,  15.30, 0.75, 255.36, -22.46
54.53,  15.41, 0.75, 255.36, -22.46
54.96,  15.51, 0.74, 255.37, -22.46
55.43,  15.61, 0.74, 255.37, -22.46
55.97,  15.70, 0.74, 255.38, -22.46
56.55,  15.79, 0.73, 255.38, -22.47
57.18,  15.89, 0.73, 255.39, -22.47
57.86,  15.99, 0.72, 255.39, -22.47
58.56,  16.10, 0.72, 255.40, -22.47
59.29,  16.23, 0.72, 255.40, -22.47
60.03,  16.36, 0.71, 255.41, -22.47
60.76,  16.51, 0.71, 255.41, -22.47
61.47,  16.67, 0.71, 255.42, -22.47
62.16,  16.85, 0.70, 255.42, -22.47
62.81,  17.03, 0.70, 255.42, -22.47
63.41,  17.21, 0.69, 255.43, -22.47
63.96,  17.40, 0.69, 255.43, -22.47
64.46,  17.59, 0.69, 255.44, -22.47
64.91,  17.78, 0.68, 255.44, -22.47
65.32,  17.95, 0.68, 255.45, -22.47
65.69,  18.12, 0.67, 255.46, -22.47
66.03,  18.27, 0.67, 255.46, -22.47
66.36,  18.40, 0.67, 255.47, -22.48
66.69,  18.51, 0.66, 255.47, -22.48
67.04,  18.60, 0.66, 255.48, -22.48
67.42,  18.68, 0.65, 255.48, -22.48
67.84,  18.75, 0.65, 255.49, -22.48
68.30,  18.80, 0.65, 255.49, -22.48
68.82,  18.85, 0.64, 255.50, -22.48
69.40,  18.90, 0.64, 255.50, -22.48
70.02,  18.95, 0.63, 255.51, -22.48
70.70,  19.00, 0.63, 255.51, -22.48
71.42,  19.07, 0.63, 255.52, -22.48
72.16,  19.14, 0.62, 255.52, -22.48
72.93,  19.23, 0.62, 255.53, -22.48
73.70,  19.33, 0.61, 255.53, -22.48
74.47,  19.45, 0.61, 255.54, -22.48
75.22,  19.58, 0.60, 255.54, -22.48
75.94,  19.73, 0.60, 255.55, -22.48
76.61,  19.88, 0.60, 255.55, -22.49
77.24,  20.04, 0.59, 255.56, -22.49
77.82,  20.20, 0.59, 255.56, -22.49
78.35,  20.36, 0.58, 255.57, -22.49
78.82,  20.51, 0.58, 255.57, -22.49
79.25,  20.65, 0.57, 255.58, -22.49
79.64,  20.78, 0.57, 255.58, -22.49
80.01,  20.89, 0.57, 255.59, -22.49
80.36,  20.98, 0.56, 255.59, -22.49
80.72,  21.04, 0.56, 255.60, -22.49
81.10,  21.09, 0.55, 255.60, -22.49
81.51,  21.12, 0.55, 255.61, -22.49
81.96,  21.13, 0.54, 255.62, -22.49
82.47,  21.13, 0.54, 255.62, -22.49
83.03,  21.13, 0.54, 255.63, -22.49
83.64,  21.12, 0.53, 255.63, -22.49
84.31,  21.12, 0.53, 255.64, -22.49
85.02,  21.13, 0.52, 255.64, -22.50
85.78,  21.14, 0.52, 255.65, -22.50
86.57,  21.17, 0.51, 255.65, -22.50
87.37,  21.21, 0.51, 255.66, -22.50
88.18,  21.27, 0.50, 255.66, -22.50
88.99,  21.35, 0.50, 255.67, -22.50
89.77,  21.44, 0.50, 255.67, -22.50
90.51,  21.54, 0.49, 255.68, -22.50
91.22,  21.65, 0.49, 255.68, -22.50
91.88,  21.77, 0.48, 255.69, -22.50
92.48,  21.89, 0.48, 255.69, -22.50
93.03,  22.00, 0.47, 255.70, -22.50
93.53,  22.11, 0.47, 255.70, -22.50
93.98,  22.20, 0.46, 255.71, -22.50
94.39,  22.28, 0.46, 255.71, -22.50
94.78,  22.34, 0.46, 255.72, -22.50
95.16,  22.37, 0.45, 255.73, -22.50
95.55,  22.38, 0.45, 255.73, -22.50
95.95,  22.37, 0.44, 255.74, -22.51
96.39,  22.34, 0.44, 255.74, -22.51
96.87,  22.30, 0.43, 255.75, -22.51
97.40,  22.24, 0.43, 255.75, -22.51
97.99,  22.18, 0.42, 255.76, -22.51
98.64,  22.12, 0.42, 255.76, -22.51
99.34,  22.06, 0.41, 255.77, -22.51
100.09,  22.00, 0.41, 255.77, -22.51
100.88,  21.96, 0.41, 255.78, -22.51
101.70,  21.94, 0.40, 255.78, -22.51
102.53,  21.93, 0.40, 255.79, -22.51
103.37,  21.93, 0.39, 255.79, -22.51
104.20,  21.95, 0.39, 255.80, -22.51
105.01,  21.99, 0.38, 255.80, -22.51
105.78,  22.04, 0.38, 255.81, -22.51
106.51,  22.10, 0.37, 255.82, -22.51
107.18,  22.16, 0.37, 255.82, -22.52
107.81,  22.22, 0.37, 255.83, -22.52
108.37,  22.28, 0.36, 255.83, -22.52
108.89,  22.33, 0.36, 255.84, -22.52
109.36,  22.37, 0.35, 255.84, -22.52
109.79,  22.38, 0.35, 255.85, -22.52
110.19,  22.38, 0.34, 255.85, -22.52
110.59,  22.35, 0.34, 255.86, -22.52
110.99,  22.30, 0.33, 255.86, -22.52
111.41,  22.23, 0.33, 255.87, -22.52
111.87,  22.14, 0.32, 255.88, -22.52
112.37,  22.03, 0.32, 255.88, -22.52
112.92,  21.92, 0.32, 255.89, -22.52
113.53,  21.79, 0.31, 255.89, -22.52
114.19,  21.67, 0.31, 255.90, -22.52
114.91,  21.55, 0.30, 255.90, -22.52
115.68,  21.44, 0.30, 255.91, -22.52
116.49,  21.34, 0.29, 255.91, -22.53
117.32,  21.25, 0.29, 255.92, -22.53
118.17,  21.18, 0.29, 255.92, -22.53
119.03,  21.13, 0.28, 255.93, -22.53
119.87,  21.09, 0.28, 255.93, -22.53
120.69,  21.06, 0.27, 255.94, -22.53
121.47,  21.05, 0.27, 255.95, -22.53
122.21,  21.04, 0.26, 255.95, -22.53
122.90,  21.04, 0.26, 255.96, -22.53
123.53,  21.04, 0.26, 255.96, -22.53
124.10,  21.03, 0.25, 255.97, -22.53
124.62,  21.02, 0.25, 255.97, -22.53
125.10,  20.99, 0.24, 255.98, -22.53
